Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
31/05/2016	1980	1920	1980	1900	959000	3	12800	37810	500	960
01/06/2016	1920	1920	1920	1900	89122000	10	16820	37810	46480	960
02/06/2016	1920	1910	1920	1900	57761000	10	4765	31320	30210	955
03/06/2016	1910	1910	1910	1900	19797000	6	1885	3110	10380	955
06/06/2016	1910	1900	1900	1900	3420000	1	845	5690	1800	950
07/06/2016	1900	1900	1900	1900	2128000	4	12000	5970	1120	950
08/06/2016	1900	1860	1920	1850	22699500	12	1430	7294	12222	930
09/06/2016	1860	1850	1920	1850	2691300	3	262	11540	1454	925
10/06/2016	1850	1900	1900	1800	835496700	24	3500	9412	439883	950
13/06/2016	1900	1900	0	0	0	0	3500	4002	0	950
14/06/2016	1900	1900	0	0	0	0	3500	74002	0	950
15/06/2014	1900	1800	1800	1800	6300000	2	0	74102	3500	900
16/06/2016	1800	1800	1800	1800	1872000	3	0	70616	1040	900
17/06/2016	1800	1850	1900	1850	51266000	4	10000	1130	27710	925
20/06/2016	1850	1800	1800	1800	1899000	3	0	77091	1055	900
21/06/2016	1800	1700	1710	1700	121385000	5	0	6784	71400	850
23/06/2016	1700	1600	1800	1600	13397500	12	7182	8850	8119	800
24/06/2016	1600	1680	1700	1600	7269000	10	19289	5170	4370	840
27/06/2016	1680	1680	1800	1610	11559600	9	20961	1620	6880	840
28/06/2016	1680	1600	1700	1600	136500	4	70340	1620	85	800
29/06/2016	1600	1600	1600	1600	12000000	2	62868	1620	7500	800
30/06/2016	1600	1600	1600	1600	1334706300	3	295946	1620	808916	800
01/07/2016	1600	1650	1800	1650	332176500	5	507536	0	201310	825
04/07/2016	1650	1650	1650	1650	1650000	1	320210	300	1000	825
05/07/2016	1650	1650	1660	1650	7591900	5	247768	0	4600	825
08/07/2016	1650	1690	1690	1650	18613800	7	20480	1	11038	845
11/07/2016	1690	1700	1700	1650	2806650	3	69322	0	1651	850
12/07/2016	1700	1700	0	0	0	0	89202	0	0	850
13/07/2016	1700	1710	1710	1700	5783200	4	86510	2	3382	855
14/07/2016	1710	1710	0	0	0	0	86530	2	0	855
15/07/2016	1710	1710	1710	1710	2941200	5	63220	2	1720	855
18/07/2016	1710	1710	1700	1700	3400	1	51883	0	2	855
19/07/2016	1710	1800	1910	1720	17373230	15	117107	0	9651	900
20/07/2016	1800	2000	2000	2000	26246000	9	116629	0	13123	1000
21/07/2016	2000	2150	2150	2030	26927500	6	139100	0	13250	1075
22/07/2016	2150	2150	2150	2150	98900000	3	94100	0	46000	1075
25/07/2016	2150	2150	2150	2150	3332048500	6	53650	4	1549790	1075
26/07/2016	2150	2150	2150	2150	8600000	4	42880	5004	4000	1075
27/07/2016	2150	2150	2150	2150	3983950	3	41180	10881	1853	1075
28/07/2016	2150	2410	2470	2170	33685700	11	58380	1440	14445	1205
29/07/2016	2410	2470	2470	2470	3564210	2	0	0	1443	1235
01/08/2016	2470	2710	2710	2490	7681967900	4	91360	3006	3200770	1355
02/08/2016	2710	2540	2710	2490	53415890	19	80560	5976	21041	1270
03/08/2016	2540	2500	2550	2500	888173500	7	88325	7476	355170	1250
04/08/2016	2500	2560	2570	2560	19163920	7	69175	8196	7482	1280
05/08/2016	2560	2560	2570	2540	6652080	9	12770	3508	2595	1280
09/08/2016	2560	2570	2710	2570	3380950	3	8390	10543	1315	1285
10/08/2016	2570	2710	2710	2570	31389510	13	8330	34502	11583	1355
11/08/2016	2710	2710	2710	2710	35452220	7	7933	48360	13082	1355
12/08/2016	2710	2710	2800	2700	977125730	20	20320	2701	360520	1355
15/08/2016	2710	2740	2740	2710	16494850	9	12370	9680	6025	1370
16/08/2016	2740	2740	2740	2710	22225700	9	0	10650	8120	1370
17/08/2016	2740	2730	2740	2710	31642080	9	0	0	11588	1365
18/08/2016	2730	2750	2800	2740	16240480	7	16225	2318	5902	1375
19/08/2016	2750	2750	2760	2750	12114000	2	27825	5318	4400	1375
22/08/2016	2750	2760	2800	2750	27190040	13	37808	3000	9837	1380
23/07/2016	2760	2800	2800	2760	18154800	10	20008	4252	6490	1400
24/08/2016	2800	2760	2800	2750	33001920	13	8406	29720	11962	1380
25/08/2016	2760	2780	2800	2760	18656400	13	8555	36630	6710	1390
26/08/2016	2780	2770	2770	2750	247221700	10	2825	24450	89320	1385
29/08/2016	2770	2750	2760	2750	12447000	7	2005	8240	4520	1375
30/08/2016	2750	2750	2750	2750	33385000	6	2000	4370	12140	1375
31/08/2016	2750	2750	2750	2500	11443000	13	0	8214	4382	1375
01/09/2016	2750	2750	2750	2750	24860000	8	0	8774	9040	1375
02/09/2016	2750	2750	2750	2750	1490500	18	186	12310	542	1375
05/09/2016	2750	2750	0	0	0	0	170	17280	0	1375
06/09/2016	2750	2750	0	0	0	0	7	33560	0	1375
07/09/2016	2750	2750	0	0	0	0	7	26880	0	1375
08/09/2016	2750	2750	2480	2480	16343200	3	89	21560	6590	1375
09/09/2016	2750	2750	2750	2500	3495160	5	82	33961	1307	1375
13/09/2016	2750	2750	0	0	0	0	0	36463	0	1375
14/09/2016	2750	2750	0	0	0	0	0	68869	0	1375
15/09/2016	2750	2750	0	0	0	0	0	101277	0	1375
16/09/2016	2750	2750	2440	2440	5648600	7	0	96836	2315	1375
19/09/2016	2750	2750	2440	2420	972040	3	0	82235	401	1375
20/09/2016	2750	2750	2440	2440	4880	1	0	77595	2	1375
21/09/2016	2750	2750	0	0	0	0	0	86411	0	1375
22/09/2016	2750	2750	0	0	0	0	0	84981	0	1375
23/09/2016	2750	2750	2400	2400	6000000	1	0	56750	2500	1375
26/09/2016	2750	2750	2380	2380	7282800	9	5	40510	3060	1375
27/09/2016	2750	2750	2380	2380	49980	5	0	36240	21	1375
28/09/2016	2750	2750	2380	2380	737800	1	0	36030	310	1375
29/09/2016	2750	2750	0	0	0	0	0	51980	0	1375
30/09/2016	2750	2750	0	0	0	0	0	29400	0	1375
03/10/2016	2750	2750	2360	2360	32190400	7	0	60602	13640	1375
04/10/2016	2750	2750	0	0	0	0	0	76674	0	1375
05/10/2016	2750	2750	0	0	0	0	0	77174	0	1375
06/10/2016	2750	2750	0	0	0	0	0	74384	0	1375
07/10/2016	2750	2750	2360	2360	438960	2	0	75898	186	1375
10/10/2016	2750	2750	2360	2360	361080	2	0	38626	153	1375
11/10/2016	2750	2750	0	0	0	0	0	43303	0	1375
12/10/2016	2750	2750	2360	2360	431880	7	0	80980	183	1375
	2750	2750	0	0	0	0	0	102692	0	1375
16/10/2016	2750	2750	2360	2360	483800	3	2	110962	205	1375
18/10/2016	2750	2750	0	0	0	0	0	85018	0	1375
19/10/2016	2750	2750	2360	2360	94400	1	0	107515	40	1375
20/10/2016	2750	2750	2360	2360	141600	1	0	136464	60	1375
21/10/2016	2750	2750	2360	2360	0	0	0	157658	0	1375
24/10/2016	2750	2750	2360	2360	94400	1	0	159668	40	1375
	2750	2750	0	0	0	0	0	110389	0	1375
26/10/2016	2750	2750	2360	2360	25960	2	0	124618	11	1375
27/10/2016	2750	2750	2360	2360	8260000	1	0	150230	3500	1375
28/10/2016	2750	2750	2360	2360	1486800	2	0	133882	630	1375
29/10/2016	2750	2750	2360	2360	2360000	1	0	148382	1000	1375
01/11/2016	2750	2750	0	0	0	0	0	155738	0	1375
02/11/2016	2750	2750	2360	2360	1493880	3	0	133055	633	1375
03/11/2016	2750	2750	2360	2360	205320	4	0	100508	87	1375
04/11/2016	2750	2750	0	0	0	0	0	95856	0	1375
07/11/2016	2750	2750	0	0	0	0	0	81906	0	1375
08/11/2016	2750	2750	0	0	0	0	0	47230	0	1375
09/11/2016	2750	2750	0	0	0	0	0	86724	0	1375
10/11/2016	2750	2750	2360	2360	292640	2	0	100181	124	1375
11/11/2016	2750	2750	2360	2360	59000	4	0	99396	25	1375
14/11/2016	2750	2750	2360	2360	70800	1	0	80696	30	1375
15/11/2016	2750	2750	0	0	0	0	0	155525	0	1375
16/11/2016	2750	2750	0	0	0	0	0	136709	0	1375
17/11/2016	2750	2750	2360	2360	906240	6	0	153637	384	1375
18/11/2016	2750	2750	2360	2360	608880	5	0	161833	258	1375
21/11/2016	2750	2750	0	0	0	0	0	159445	0	1375
22/11/2016	2750	2750	0	0	0	0	0	81635	0	1375
23/11/2016	2750	2750	0	0	0	0	0	83775	0	1375
24/11/2016	2750	2750	2360	2360	165200	2	0	93555	70	1375
25/11/2016	2750	2750	2360	2360	4342400	1	0	126096	1840	1375
27/11/2016	2750	2750	0	0	0	0	0	123604	0	1375
29/11/2016	2750	2750	0	0	0	0	0	177287	0	1375
30/11/2016	2750	2750	2360	2360	377600	1	0	106837	160	1375
01/12/2016	2750	2750	0	0	0	0	0	182657	0	1375
02/12/2016	2750	2750	0	0	0	0	0	163763	0	1375
05/12/2016	2750	2750	2360	2360	7080	1	0	162520	3	1375
06/12/2016	2750	2750	0	0	0	0	0	108810	0	1375
07/12/2016	2750	2750	2360	2360	61360	2	0	223410	26	1375
08/12/2016	2750	2750	0	0	0	0	0	209270	0	1375
13/12/2016	2750	2750	0	0	0	0	0	274474	0	1375
14/12/2016	2750	2750	0	0	0	0	0	126204	0	1375
15/11/2016	2750	2750	0	0	0	0	0	173059	0	1375
16/12/2016	2750	2750	0	0	0	0	0	230569	0	1375
19/12/2016	2750	2750	0	0	0	0	0	252379	0	1375
20/12/2016	2750	2750	2360	2360	769360	4	0	167230	326	1375
21/12/2016	2750	2750	0	0	0	0	0	367770	0	1375
22/12/2016	2750	2750	0	0	0	0	0	323950	0	1375
23/12/2016	2750	2750	0	0	0	0	0	291082	0	1375
27/12/2016	2750	2750	2360	2360	264320	3	0	276160	112	1375
28/12/2016	2750	2750	0	0	0	0	0	156510	0	1375
29/12/2016	2750	2750	2360	2360	188800	1	3	182780	80	1375
30/12/2016	2750	2750	2360	2360	1195656240	9	0	154393	506634	1375
03/01/2017	2750	2750	0	0	0	0	0	230569	0	1375
04/01/2017	2750	2750	0	0	0	0	0	142096	0	1375
05/01/2017	2750	2750	2360	2360	94400	1	0	115176	40	1375
06/01/2017	2750	2750	2360	2360	2449680	5	0	115760	1038	1375
09/01/2017	2750	2750	2360	2360	29736000	2	0	532261	12600	1375
10/01/2017	2750	2750	0	0	0	0	0	148193	0	1375
11/01/2017	2750	2750	0	0	0	0	0	515099	0	1375
13/01/2017	2750	2750	2360	2360	1720440	4	0	352648	729	1375
16/01/2017	2750	2750	0	0	0	0	0	111650	0	1375
17/01/2017	2750	2750	0	0	0	0	0	137340	0	1375
18/01/2017	2750	2750	2360	2360	802400	1	0	209450	340	1375
19/01/2017	2750	2750	2360	2360	236000	1	0	591300	100	1375
20/01/2017	2750	2750	0	0	0	0	0	562610	0	1375
23/01/2017	2750	2750	2360	2360	1699200	1	0	534030	720	1375
24/01/2017	2750	2750	0	0	0	0	0	497343	0	1375
25/01/2017	2750	2750	0	0	0	0	0	412943	0	1375
26/01/2017	2750	2750	2340	2340	4680000	4	0	171772	2000	1375
27/01/2017	2750	2750	0	0	0	0	0	538932	0	1375
30/01/2017	2750	2750	2340	2340	294840	3	0	591616	126	1375
31/01/2017	2750	2750	2340	2340	215280	2	0	536540	92	1375
01/02/2017	2750	2750	2340	2340	10202400	1	3	592530	4360	1375
02/02/2017	2750	2750	2340	2340	334620	2	0	504686	143	1375
03/02/2017	2750	2750	0	0	0	0	0	148736	0	1375
06/02/2017	2750	2750	2340	2340	234000	1	0	427026	100	1375
07/02/2017	2750	2750	2340	2340	60840	2	1	432500	26	1375
08/02/2017	2750	2750	2340	2340	2342340	3	0	91541	1001	1375
09/02/2017	2750	2750	0	0	0	0	0	153051	0	1375
10/02/2017	2750	2750	0	0	0	0	0	205371	0	1375
13/02/2017	2750	2750	2340	2340	210600	1	0	229591	90	1375
14/02/2017	2750	2750	0	0	0	0	0	252982	0	1375
15/02/2017	2750	2750	0	0	0	0	0	180764	0	1375
16/02/2017	2750	2750	2340	2340	7740720	7	0	180241	3308	1375
17/02/2017	2750	2750	0	0	0	0	0	271222	0	1375
20/02/2017	2750	2750	0	0	0	0	0	280102	0	1375
21/02/2017	2750	2750	0	0	0	0	0	289432	0	1375
22/02/2017	2750	2750	0	0	0	0	0	320607	0	1375
23/02/2017	2750	2750	2340	2340	12769380	8	2	246880	5457	1375
24/02/2017	2750	2750	2340	2340	4680	1	0	120843	2	1375
27/02/2017	2750	2750	0	0	0	0	0	158653	0	1375
28/02/2017	2750	2750	0	0	0	0	0	142303	0	1375
01/03/2017	2750	2750	2340	2340	678600	1	0	201893	290	1375
02/03/2017	2750	2750	2340	2340	4897620	2	0	269830	2093	1375
03/03/2017	2750	2750	2340	2340	58500000	12	0	237530	25000	1375
06/03/2017	2750	2750	2340	2340	6622200	10	0	181620	2830	1375
07/03/2017	2750	2750	2340	2340	4890600	1	0	200520	2090	1375
08/03/2017	2750	2750	0	0	0	0	0	175840	0	1375
09/03/2017	2750	2750	0	0	0	0	0	107760	0	1375
10/03/2017	2750	2750	0	0	0	0	0	104145	0	1375
13/03/2017	2750	2750	2340	2340	912600	1	0	116855	390	1375
14/03/2017	2750	2750	0	0	0	0	0	79365	0	1375
15/03/2017	2750	2750	0	0	0	0	0	56865	0	1375
16/03/2017	2750	2750	2340	2340	2340	1	0	73234	1	1375
17/03/2017	2750	2750	0	0	0	0	0	109060	0	1375
20/03/2017	2750	2750	0	0	0	0	0	93570	0	1375
