Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
22/06/2015	7190	7200	7200	7200	3211200	2	16767	10000	446	259.2
23/06/2015	7200	7200	7210	7000	6352000	5	6585	10451	882	259.2
24/06/2015	7200	7490	7500	7000	81734500	9	7200	0	10910	269.64
25/06/2015	7490	7500	7500	7500	42750000	3	980	3	5700	270
26/06/2015	7500	7510	7510	7500	16852400	12	990	0	2244	270.36
29/06/2015	7510	7500	7500	7500	450000	1	830	2	60	270
30/06/2015	7500	7500	7500	7500	15000	1	440	2	2	270
01/07/2015	7500	7500	7500	7500	36420000	10	0	0	4856	270
02/06/2015	7500	7500	7500	7500	2017500	2	100	9020	269	270
03/07/2015	7500	7500	7500	7500	60510000	15	1000	7025	8068	270
06/07/2015	7500	7500	7500	7500	750000	2	1130	7467	100	270
08/07/2015	7500	7490	7500	7490	30784000	4	1000	7794	4110	269.64
09/07/2015	7490	7490	0	0	0	0	1000	9134	0	269.64
10/07/2015	7490	7500	7500	7500	2700000	2	0	5162	360	270
13/07/2015	7500	7500	7500	7500	12000000	6	0	4173	1600	270
14/07/2015	7500	7200	7500	6500	13816000	8	650	3144	1920	259.2
15/07/2015	7200	7200	0	0	0	0	10650	3144	0	259.2
16/07/2015	7200	7200	0	0	0	0	10750	3251	0	259.2
17/07/2015	7200	7450	7500	7200	11451000	6	720	715	1536	268.2
20/07/2015	7450	7350	7500	7200	1029000	3	650	2435	140	264.6
21/07/2015	7350	7350	0	0	0	0	1330	2435	0	264.6
22/07/2015	7350	7370	7450	7350	442000	2	2170	3445	60	265.32
23/07/2015	7370	7370	0	0	0	0	3670	4854	0	265.32
24/07/2015	7370	7350	7350	7350	10363500	4	2260	4961	1410	264.6
27/07/2015	7350	7350	0	0	0	0	2260	4970	0	264.6
28/07/2015	7350	7350	7350	7350	764400	7	900	5609	104	264.6
29/07/2015	7350	7350	7350	7350	10657500	3	0	3348	1450	264.6
30/07/2015	7350	7350	7350	7350	4410000	3	0	1234	600	264.6
31/07/2015	7350	7350	7350	7340	587800	2	0	0	80	264.6
