Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
23/01/2015	14500	14480	14500	13200	405308000	10	1630	0	28000	4270.56
26/01/2015	14480	14500	14510	14500	137543000	20	230	320	9484	4276.46
27/01/2015	14500	14500	14500	14500	78735681500	24	450	0	5430047	4276.46
28/01/2015	14500	14500	14500	14500	10237000	7	1219	5000	706	4276.46
29/01/2015	14500	14500	15000	14500	87295000	11	219	4990	6020	4276.46
30/01/2015	14500	14050	14500	14000	776205000	5	409	0	55240	4143.74
02/02/2015	14050	14500	14500	14000	39285500	10	732	2490	2710	4276.46
03/02/2015	14500	14500	14500	14400	27398000	4	588	1470	1890	4276.46
04/02/2015	14500	14500	14500	14400	1405622000	23	5058	0	96940	4276.46
05/02/2015	14500	14500	14500	14000	8523220000	11	688	0	587810	4276.46
06/02/2015	14500	14500	14600	14500	6818901000	8	512	0	470268	4276.46
09/02/2015	14500	14500	14500	14500	71093500	12	1965	0	4903	4276.46
10/02/2015	14500	14500	14500	14500	88450000	9	1657	4840	6100	4276.46
11/02/2015	14500	14340	14500	14150	15775000	3	1497	5140	1100	4229.27
12/01/2015	14340	14500	14500	14500	44950000	9	1476	8030	3100	4276.46
13/01/2015	14500	14500	14500	14490	74375100	31	605	28200	5130	4276.46
16/02/2015	14500	14500	14500	14500	320885000	19	606	30070	22130	4276.46
17/02/2015	14500	14110	14500	14000	25120000	10	39546	34920	1780	4161.44
18/02/2015	14110	14320	14500	14110	22381636700	23	39270	49690	1543580	4223.38
19/02/2015	14320	14500	14500	14110	19157974500	21	575	53090	1321245	4276.46
20/02/2015	14500	14500	14500	14500	23797922000	11	11675	24150	1641236	4276.46
23/02/2015	14500	14180	14180	14180	14112270400	2	12616	251550	973264	4182.09
24/02/2015	14180	14500	14500	14200	16599398500	18	103869	14150	1144789	4276.46
25/02/2015	14500	14500	14500	14500	40745000	31	101515	14150	2810	4276.46
26/02/2015	14500	14500	14500	14500	5510000	6	91544	0	380	4276.46
27/02/2015	14500	14290	14500	14180	22111500	19	90440	14150	1547	4214.53
02/03/2015	14290	14500	14500	14500	51040000	7	91550	14158	3520	4276.46
03/03/2015	14500	14500	15000	14500	16578500	11	2310	14145	1143	4276.46
04/03/2015	14500	14600	14600	14500	695745200	15	91204	15530	47658	4305.96
05/03/2015	14600	14500	14500	14500	23490000	8	91000	14510	1620	4276.46
06/03/2015	14500	14600	14600	14500	695745200	15	91204	15530	47658	4305.96
09/03/2015	14170	14500	14500	14500	1369293000	16	107971	400	94434	4276.46
10/03/2015	14500	14500	14500	14500	18415000	3	106540	400	1270	4276.46
11/03/2015	14500	14500	14510	14500	28785350	6	104842	400	1985	4276.46
12/03/2015	14500	14500	14500	14500	656937000	16	91650	400	45306	4276.46
13/03/2015	14500	14500	14520	14500	2068377500	8	91055	10400	142645	4276.46
16/03/2015	14500	14500	14510	14500	35532500	10	92097	10710	2450	4276.46
17/03/2015	14500	14500	14510	14500	12444180	8	1586	11500	858	4276.46
18/03/2015	14500	14520	14520	14520	5227200	1	4186	10000	360	4282.36
19/03/2015	14520	14520	14540	14500	26925280	16	91006	10000	1854	4282.36
20/03/2015	14520	15000	15000	15000	3691050000	8	74000	0	246070	4423.93
23/03/2015	15000	15000	0	0	0	0	75622	1000	0	4423.93
24/03/2015	15000	14780	15000	14000	31030000	8	75162	0	2099	4359.04
25/03/2015	14780	15000	15000	15000	3000000	1	75223	11300	200	4423.93
26/03/2015	15000	15000	15000	14500	17639500	4	75230	11150	1176	4423.93
27/03/2015	15000	15000	0	0	0	0	1167	10500	0	4423.93
30/03/2015	15000	15000	15000	15000	283800000	9	1167	0	18920	4423.93
31/03/2015	15000	15000	15000	15000	49950000	6	129	0	3330	4423.93
