Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
41641	2680	2680	2680	2680	14782880	6	0	26500	5516	96.48
41642	2680	2680	2680	2680	14589920	6	0	21100	5444	96.48
41645	0	0	0	0	0	0	0	23100	0	96.48
41646	2680	2680	2680	2680	17527200	12	0	20000	6540	96.48
41647	2680	2680	2680	2680	32441400	15	3500	10000	12105	96.48
41648	2680	2680	2680	2680	4020000	1	3200	10000	1500	96.48
41649	2700	2700	2700	2700	2700000	1	2300	0	"1,00"	97.2
41654	2700	2700	2700	2700	13880700	6	200	14300	5141	97.2
41655	2700	2700	2700	2700	4860000	1	200	12500	1800	97.2
41656	2680	2680	2680	2680	268000	1	0	12500	100	98.48
41659	0	0	0	0	0	0	0	12500	0	98.48
41660	2700	2700	2700	2700	15390000	4	0	0	5700	97.2
41661	2700	2700	2700	2700	18630000	5	0	0	6900	97.2
41662	0	0	0	0	0	0	100	0	0	97.2
41663	0	0	0	0	0	0	400	0	0	97.2
41666	0	0	0	0	0	0	700	0	0	97.2
41667	2700	2700	2700	2700	2853900	10	1200	0	1057	97.2
41668	2700	2700	2700	2700	3780000	2	0	3600	1400	97.2
41669	0	0	0	0	0	0	0	7600	0	97.2
41670	2700	2700	2700	2700	810000	1	0	7500	300	97.2
41673	2700	2700	2700	2700	2160000	1	0	6700	800	97.2
41674	0	0	0	0	0	0	0	4200	0	97.2
41675	2700	2700	2700	2700	202500	2	0	7100	75	97.2
41676	2700	2700	2700	2700	1350000	2	0	9700	500	97.2
41677	2700	2700	2700	2700	1633500	8	0	45600	605	97.2
41680	2700	2700	2700	2700	807300	6	0	45400	299	97.2
41681	2700	2700	2700	2700	4050000	2	0	39300	1500	97.2
41682	2700	2700	2700	2700	20790000	8	0	34100	7700	97.2
41683	0	0	0	0	0	0	0	4700	0	97.2
41684	2700	2700	2700	2700	3453300	4	0	35100	1279	97.2
41687	2700	2700	2700	2700	224100	4	0	35800	83	97.2
41688	0	0	0	0	0	0	0	34500	0	97.2
41689	0	0	0	0	0	0	0	33600	0	97.2
41690	2700	2700	2700	2700	191700	-	0	6000	71	97.2
41691	2700	2700	2700	2700	108000	1	0	37000	40	97.2
41694	2700	2700	2700	2700	2970000	1	0	36600	1100	97.2
41695	2700	2700	2700	2700	2808000	3	0	36000	1040	97.2
41696	2700	2700	2700	2700	12420000	10	0	31800	4600	97.2
41697	0	0	0	0	0	0	0	1100	0	97.2
41698	2700	2700	2700	2700	2700000	3	0	31200	1000	97.2
41701	2700	2700	2700	2700	5373000	9	0	37200	1990	97.2
41702	2700	2700	2700	2700	2700000	1	0	73200	1000	97.2
41703	2700	2700	2700	2700	21060000	5	0	74400	7800	97.2
41704	2700	2700	2700	2700	540000	1	0	45700	200	97.2
41705	2700	2700	2700	2700	226800	3	0	9600	84	97.2
41708	2700	2700	2700	2700	1811700	4	0	5600	671	97.2
41709	2700	2700	2700	2700	243000	5	0	1700	90	97.2
41710	0	0	0	0	0	0	0	30200	0	97.2
41711	2700	2700	2700	2700	137027700	5	0	29500	50751	97.2
41712	2700	2700	2700	2700	86238000	11	0	37700	31940	97.2
41715	2700	2700	2700	2700	3569400	5	0	36400	1322	97.2
41716	0	0	0	0	0	0	0	36500	0	97.2
41717	2700	2700	"2,700 2,700"	2700	2700000	1	0	8900	1000	97.2
2700	2700	2700	2700	2700	270000	1	0	8900	100	97.2
41719	2700	2700	2700	2700	3893400	5	0	28400	1442	97.2
41722	0	0	0	0	0	0	0	28400	0	97.2
41724	2700	2700	2700	2700	8370000	3	0	9300	3100	97.2
41725	2700	2700	2700	2700	2970000	4	0	23500	1100	97.2
41726	2700	2700	2700	2700	1350000	2	0	23500	500	97.2
41729	0	0	0	0	0	0	0	27400	0	97.2
41730	0	0	0	0	0	0	0	26900	0	97.2
41731	0	0	0	0	0	0	0	4400	0	97.2
41732	2700	2700	2700	2700	54000	1	0	4400	20	97.2
41733	2700	2700	2700	2700	388800	2	0	1000	144	97.2
41737	2700	2700	2700	2700	18918900	9	0	20200	7007	97.2
41738	2700	2700	2700	2700	18900	1	0	20200	7	97.2
41739	2700	2700	2700	2700	54810000	4	0	3300	20300	97.2
41740	2700	2700	2700	2700	291600	4	0	4400	108	97.2
