Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
01/12/2016	250	250	215	215	939550	4	0	974234	4370	652.96
02/12/2016	250	250	215	215	8765550	5	0	826369	40770	652.96
05/12/2016	250	250	215	215	127925	6	0	1019230	595	652.96
06/12/2016	250	250	215	215	30315	3	0	884884	141	652.96
07/12/2016	250	250	215	215	190920	9	0	839123	888	652.96
08/12/2016	250	250	215	215	6852265	17	0	549098	31871	652.96
13/12/2016	250	250	215	215	48805	3	0	419893	227	652.96
14/12/2016	250	250	215	215	2279000	8	0	960840	10600	652.96
15/11/2016	250	250	215	215	36550	1	0	999999	170	652.96
16/12/2016	250	250	0	0	0	0	0	1011189	0	652.96
19/12/2016	250	250	215	215	7326985	15	0	1081768	34079	652.96
20/12/2016	250	250	215	215	6429360	3	0	1083659	29904	652.96
21/12/2016	250	250	215	215	451500	1	0	850746	2100	652.96
22/12/2016	250	250	215	215	836350	3	0	742208	3890	652.96
23/12/2016	250	250	215	215	25800	2	0	721188	120	652.96
27/12/2016	250	250	215	215	16114895	34	0	554093	74953	652.96
28/12/2016	250	250	215	215	15050	2	0	1177997	70	652.96
29/12/2016	250	250	215	215	390225	3	0	1279922	1815	652.96
30/12/2016	250	250	215	215	28081150	11	0	1454432	130610	652.96
03/01/2017	250	250	0	0	0	0	0	1011189	0	652.96
04/01/2017	250	250	215	215	43000	1	0	817476	200	652.96
05/01/2017	250	250	215	215	2953025	13	0	734371	13735	652.96
06/01/2017	250	215	215	215	347217690	82	0	66090	1614966	561.55
09/01/2017	215	215	215	215	9675	3	29990	174230	45	561.55
10/01/2017	215	215	215	200	1874350	5	24590	548030	9200	561.55
11/01/2017	215	215	205	200	1776000	5	15850	540746	8840	561.55
13/01/2017	215	215	200	200	5167200	14	11473	485745	25836	561.55
16/01/2017	215	215	200	185	410220	11	50000	246655	2055	561.55
17/01/2017	215	215	200	185	518500	2	63570	170305	2780	561.55
18/01/2017	215	215	200	200	2004000	6	63575	201345	10020	561.55
19/01/2017	215	215	200	185	7911600	5	227710	201350	42765	561.55
20/01/2017	215	215	190	185	46584700	32	100360	197696	251750	561.55
23/01/2017	215	215	185	185	27721325	9	0	155451	149845	561.55
24/01/2017	215	215	200	185	34276815	38	0	74322	185280	561.55
25/01/2017	215	215	185	185	5673950	5	0	849340	30670	561.55
26/01/2016	215	215	185	185	146150	1	0	882735	790	561.55
27/01/2017	215	215	185	185	65860	5	0	896504	356	561.55
30/01/2017	215	215	185	185	13236750	6	0	821923	71550	561.55
31/01/2017	215	215	185	185	2979610	6	0	949110	16106	561.55
01/02/2017	215	215	215	185	31877565	10	0	69529	172311	561.55
02/02/2017	215	215	185	185	8179220	20	2530	35069	44212	561.55
03/02/2017	215	215	185	185	26747300	7	0	68414	144580	561.55
06/02/2017	215	215	200	185	16658820	22	0	60574	90012	561.55
07/02/2017	215	215	185	185	1839640	19	0	177160	9944	561.55
08/02/2017	215	215	185	185	20377750	5	0	328250	110150	561.55
09/02/2017	215	215	215	185	5260625	5	0	329795	28435	561.55
10/02/2017	215	215	185	185	6450025	9	2	308955	34865	561.55
13/02/2017	215	215	185	185	2749100	2	2	302675	14860	561.55
14/02/2017	215	215	185	185	6206750	7	2	633485	33550	561.55
15/02/2017	215	215	185	185	681355	9	5	576970	3683	561.55
16/02/2017	215	215	185	185	320050	5	0	693960	1730	561.55
17/02/2017	215	215	185	185	6561950	11	0	716605	35470	561.55
20/02/2017	215	215	185	185	155400	2	0	740501	840	561.55
21/02/2017	215	185	185	185	55500000	6	0	348701	300000	483.19
22/02/2017	185	185	185	180	7225900	13	20770	734296	40080	483.19
23/02/2017	185	185	180	180	1616400	2	42790	734296	8980	483.19
24/02/2017	185	185	180	165	6745800	15	20770	734031	37560	483.19
27/02/2017	185	185	180	160	20326300	8	88020	624800	120660	483.19
28/02/2017	185	185	180	180	675360	2	109798	530119	3752	483.19
01/03/2017	185	185	165	165	1617000	9	100796	166285	9800	483.19
02/03/2017	185	185	175	165	5719550	18	101075	652372	34660	483.19
03/03/2017	185	185	165	160	5265050	5	101370	622842	31970	483.19
06/03/2017	185	185	165	160	17677085	25	0	455456	110476	483.19
07/03/2017	185	185	160	160	1740800	7	0	462932	10880	483.19
08/03/2017	185	185	160	160	28034400	14	6210	294436	175215	483.19
09/03/2017	185	185	165	160	19931000	7	0	197345	124550	483.19
10/03/2017	185	185	165	160	116300	2	0	211680	705	483.19
13/03/2017	185	185	160	160	3832320	16	2640	224140	23952	483.19
14/03/2017	185	185	160	160	427200	2	0	206800	2670	483.19
15/03/2017	185	185	160	160	2952000	8	2	214190	18450	483.19
16/03/2017	185	185	160	160	9813920	14	0	35570	61337	483.19
17/03/2017	185	185	160	160	2604800	8	14900	21800	16280	483.19
20/03/2017	185	185	160	160	26328800	24	8670	7876	164555	483.19
21/03/2017	185	185	160	160	11520000	12	97440	7876	72000	483.19
22/03/2017	185	185	165	160	19855545	12	2	49185	124097	483.19
23/03/2017	185	185	160	160	16658880	9	4	37585	104118	483.19
24/03/2017	185	185	165	160	18497115	12	1712	27040	115604	483.19
27/03/2017	185	185	160	160	10228000	17	108507	45790	63925	483.19
28/03/2017	185	185	160	160	5120000	1	77372	53115	32000	483.19
29/03/2017	185	185	165	160	396360	4	75958	27975	2446	483.19
30/03/2017	185	185	160	160	12352000	23	7	189545	77200	483.19
31/03/2017	185	185	160	160	29516000	9	30000	27925	184475	483.19
03/04/2017	185	185	160	160	10455520	20	42143	50945	65347	483.19
04/04/2017	185	185	160	160	7212160	14	3	43620	45076	483.19
05/04/2017	185	185	160	160	17032000	7	3	71660	106450	483.19
06/04/2017	185	185	165	160	22229000	10	2407	42620	138900	483.19
10/04/2017	185	185	165	160	3385600	5	143747	0	20535	483.19
11/04/2017	185	185	165	160	6952625	6	224909	57020	43395	483.19
12/04/2017	185	185	170	165	15172960	16	1807488	41900	91684	483.19
18/04/2017	185	185	170	165	4749700	13	63990	3	28000	483.19
19/04/2017	185	185	170	170	8480110	14	156806	0	49883	483.19
20/04/2017	185	185	170	170	12085130	8	395120	9890	71089	483.19
21/04/2017	185	185	175	170	23901870	12	278469	73276	140011	483.19
24/04/2017	185	185	175	170	22940970	10	238228	11360	132241	483.19
25/04/2017	185	185	185	170	635290	5	296005	34680	3630	483.19
27/04/2017	185	185	185	185	1190587850	15	171317	0	6435610	483.19
28 aprl 17	185	185	185	180	22446500	14	235576	35140	124290	483.19
02/05/2017	185	185	185	175	8366455	17	187340	35140	47808	483.19
03/05/2017	185	185	185	180	2166650	10	344880	228980	11890	483.19
04/05/2017	185	185	180	180	1008000	5	298125	228980	5600	483.19
